adm1_gaulcode,adm1_name,adm2_gaulcode,adm2_name,mkt_id,mkt_name
12927,Ouaddai,65537,Korio,2302,Abdi
12918,Logone Oriental,65585,Mbaikoro,2303,Mbaibokoum
1927,Gao,19374,Gao,248,Gao
1928,Kayes,19378,Kayes,249,Kayes Centre
1929,Kidal,19384,Kidal,250,Kidal
1930,Koulikoro,19392,Koulikoro,251,Koulikoro Ba
1931,Mopti,19399,Mopti,252,Mopti Digue
1926,Bamako,81878,$Bamako,253,Niarela
1934,Tombouctou,19420,Tombouctou,255,Tombouctou
1933,Sikasso,19413,Sikasso,256,Sikasso Centre
1927,Gao,19372,Ansongo,857,Ansongo
1926,Bamako,81878,$Bamako,858,Badalabougou
1928,Kayes,19380,Kita,859,Badinko
1931,Mopti,19394,Bandiagara,860,Bandiagara
1931,Mopti,19395,Bankass,861,Bankass
1932,Segou,19403,Bla,862,Bla
1933,Sikasso,19409,Bougouni,863,Bougouni
1932,Segou,19405,Niono,864,Diakawere
1931,Mopti,19395,Bankass,865,Diallassagou
1926,Bamako,81878,$Bamako,866,Dibida
1928,Kayes,19377,Diema,867,Diema
1930,Koulikoro,19388,Dioila,868,Dioila
1932,Segou,19402,Baroueli,869,Dioro
1934,Tombouctou,19417,Goundam,870,Dire
1931,Mopti,19396,Djenne,871,Djenne
1926,Bamako,81878,$Bamako,872,Djikoroni
1932,Segou,19405,Niono,873,Dogofri
1932,Segou,19403,Bla,874,Dougouolo
1926,Bamako,81878,$Bamako,875,Fadjiguila
1930,Koulikoro,19390,Kati,876,Faladie
1930,Koulikoro,19392,Koulikoro,877,Fana
1932,Segou,19407,Segou,878,Fatine
1928,Kayes,19378,Kayes,879,Kayes N'Dy
1928,Kayes,19378,Kayes,880,Kayes Plateau
1928,Kayes,19380,Kita,881,Kita
1930,Koulikoro,19392,Koulikoro,882,Koulikoro Gare
1931,Mopti,19395,Bankass,883,Koulogon
1933,Sikasso,19409,Bougouni,884,Koumantou
1933,Sikasso,19415,Yorosso,885,Koury
1933,Sikasso,19412,Koutiala,886,Koutiala
1926,Bamako,81878,$Bamako,887,Lafiabougou
1934,Tombouctou,19419,Niafunke,888,Lere
1933,Sikasso,19410,Kadiolo,889,Loulouni
1926,Bamako,81878,$Bamako,890,Magnambougou
1926,Bamako,81878,$Bamako,891,Medine
1932,Segou,19404,Macina,892,Monimpebougou
1931,Mopti,19399,Mopti,893,Mopti Guangal
1933,Sikasso,19412,Koutiala,894,M'Pessoba
1930,Koulikoro,19393,Nara,895,Nara
1926,Bamako,81878,$Bamako,896,Niamakoro
1932,Segou,19405,Niono,897,Niono
1928,Kayes,19381,Nioro,898,Nioro
1926,Bamako,81878,$Bamako,899,Ouolofobougou
1932,Segou,19406,San,900,San
1933,Sikasso,19412,Koutiala,901,Segou Centre
1932,Segou,19407,Segou,902,Segou Chateau
1932,Segou,19405,Niono,903,Shiango
1933,Sikasso,19413,Sikasso,904,Sikasso Medine
1930,Koulikoro,19392,Koulikoro,905,Sirakorola
1926,Bamako,81878,$Bamako,906,Sogoniko
1932,Segou,19405,Niono,907,Sokolo
1934,Tombouctou,19417,Goundam,908,Tonka
1932,Segou,19403,Bla,909,Touna
1932,Segou,19404,Macina,911,Macina
1930,Koulikoro,19390,Kati,1682,Kati
1930,Koulikoro,19389,Kangaba,1812,Kouremale
1930,Koulikoro,19390,Kati,1813,Ouelessebougou
1930,Koulikoro,19391,Kolokani,1814,Kolokani
1933,Sikasso,19414,Yanfolila,1815,Yanfolila
1933,Sikasso,19415,Yorosso,1816,Yorosso
1931,Mopti,19398,Koro,1817,Koro
1932,Segou,19405,Niono,1818,Kourouma
1933,Sikasso,19415,Yorosso,1819,Kifosso
1931,Mopti,19401,Youwarou,1932,Youwarou
1927,Gao,19375,Menaka,2011,Anderamboukane
1934,Tombouctou,19418,Gourma-Rharous,2012,Bambara Maoude
1931,Mopti,19397,Douentza,2013,Boni
1927,Gao,19373,Bourem,2014,Bourem
1927,Gao,19374,Gao,2015,Djebock
1927,Gao,19374,Gao,2016,Forgho
